,DTYYYYMMDD,BID,BMP,BVH,CII,CTD,CTG,DHG,DPM,FPT,GAS,GMD,HPG,HSG,KBC,KDC,MBB,MSN,MWG,NT2,NVL,PVD,REE,ROS,SAB,SBT,SSI,STB,VCB,VIC,VNM
96,20170906,20.26,59.96,53.07,33.2,195.47,18.08,99.87,19.95,34.89,58.95,30.77,19.78,23.05,14.37,38.22,16.33,48.0,78.54,18.34,45.95,12.41,31.99,97.33,249.46,27.54,22.31,11.65,36.4,41.32,116.91
97,20170905,20.6,60.87,53.26,34.0,196.22,18.22,102.04,20.0,35.11,58.59,30.91,19.45,23.17,14.23,38.49,16.33,47.9,78.54,18.34,45.95,12.36,32.13,95.67,241.87,28.18,22.4,11.85,36.54,41.49,118.14
98,20170901,20.7,60.96,53.17,34.8,195.38,18.36,102.98,20.0,35.18,57.5,31.13,19.29,23.32,14.09,37.18,16.4,48.2,79.56,17.91,46.03,12.27,32.13,94.17,241.4,28.91,22.49,11.6,35.87,40.83,117.29
99,20170831,20.36,61.37,52.48,34.9,196.22,18.36,102.7,20.04,35.11,56.69,30.84,19.26,23.32,14.13,36.86,16.61,47.5,79.56,18.41,45.95,12.55,32.04,92.5,238.08,29.23,22.35,11.7,35.53,40.5,114.89
100,20170830,19.03,61.95,52.39,34.6,196.13,17.88,103.17,19.74,34.6,56.69,30.59,19.15,23.17,14.27,37.14,16.23,46.8,79.63,18.48,45.88,12.55,31.4,90.83,237.13,29.54,22.17,11.45,35.44,40.66,114.58
101,20170829,19.32,61.54,52.58,33.95,195.75,18.03,103.73,19.7,34.57,56.69,30.73,18.93,22.97,14.32,37.32,16.06,45.2,77.89,18.62,45.88,12.82,31.67,88.33,236.18,28.5,22.22,11.6,35.44,38.06,114.2
102,20170828,19.32,63.53,52.68,34.5,197.03,18.17,104.02,19.82,34.46,57.05,30.84,18.9,23.29,14.37,37.5,16.13,47.0,77.01,18.77,46.64,13.23,31.99,87.33,239.5,26.64,22.44,11.75,35.87,37.6,114.81
103,20170825,19.42,63.86,52.29,34.5,197.12,18.17,104.02,19.91,34.39,55.6,29.39,18.63,22.82,13.85,36.86,16.06,46.5,76.8,18.73,47.25,13.27,32.22,81.67,239.97,26.27,22.0,11.8,35.58,36.82,114.97
104,20170824,19.47,65.52,52.09,33.5,196.21,18.22,103.17,19.91,34.53,55.6,29.18,18.52,22.58,13.71,36.86,15.95,46.0,76.65,18.87,47.79,12.96,32.35,80.42,241.59,27.45,21.73,11.75,35.49,35.99,114.81
105,20170823,19.08,66.26,52.48,34.9,193.46,17.59,103.07,19.87,34.17,55.24,29.47,18.41,22.5,13.62,37.04,15.39,45.6,75.63,19.19,47.94,12.91,31.9,79.42,241.59,26.36,21.68,11.8,35.44,35.79,114.97
106,20170822,18.83,66.51,52.39,35.0,192.54,17.59,103.07,19.95,34.1,54.97,29.1,18.27,22.35,13.71,37.41,15.39,45.0,76.43,19.19,46.72,13.18,31.81,78.83,233.52,26.32,21.42,11.7,35.34,35.37,114.97
107,20170821,19.32,66.76,53.56,35.55,191.99,17.88,104.49,20.04,34.57,55.33,29.32,18.19,22.19,13.81,37.32,15.53,45.0,77.09,19.19,46.72,13.41,32.17,78.33,243.77,26.27,21.82,11.7,35.82,35.45,115.28
108,20170818,19.42,67.42,54.63,35.1,191.62,17.93,103.73,20.04,34.39,55.15,29.68,18.54,22.35,13.57,37.14,15.67,44.6,76.8,19.19,47.33,13.59,31.85,77.92,239.97,26.54,22.17,11.75,35.92,35.33,115.51
109,20170817,18.88,68.34,54.72,35.7,192.54,17.88,104.68,20.04,34.31,55.24,29.9,18.49,22.19,13.2,37.04,15.43,44.9,76.8,19.19,47.25,13.82,31.72,77.5,239.97,26.27,21.95,11.85,35.72,35.33,115.2
110,20170816,19.67,67.92,55.11,36.6,194.19,18.22,105.71,20.12,34.46,56.42,29.65,18.82,22.78,13.34,37.77,15.92,44.6,78.1,19.69,47.4,14.18,32.35,77.08,236.08,26.45,22.44,12.0,35.92,35.37,114.2
111,20170815,19.96,68.0,55.02,36.75,191.26,18.36,106.56,19.82,34.67,55.06,29.32,18.41,22.43,13.62,38.22,16.02,44.1,78.03,19.83,47.33,13.64,32.72,76.67,230.39,26.82,22.44,11.9,35.72,35.21,114.97
112,20170814,20.45,67.01,55.02,36.2,191.44,18.56,107.41,19.7,34.88,55.96,28.99,18.68,22.35,13.76,38.86,16.23,44.0,77.45,19.72,46.95,13.64,33.36,76.25,231.44,27.91,22.58,12.1,36.06,35.95,115.9
113,20170811,19.96,65.35,54.53,35.6,190.98,18.32,102.79,19.65,35.06,55.51,28.89,17.97,21.72,13.67,38.86,15.67,42.7,76.94,19.72,48.09,13.73,32.72,75.83,235.23,27.45,22.35,11.95,35.87,35.95,115.74
114,20170810,19.96,65.43,55.02,35.5,192.54,17.88,102.7,19.78,34.67,57.05,29.21,17.58,21.61,13.62,38.77,15.74,42.5,76.5,19.72,49.08,13.96,32.99,75.42,236.18,26.64,22.49,11.95,36.11,35.7,115.74
115,20170809,20.06,64.27,54.63,33.8,191.53,18.12,101.66,19.7,34.32,57.41,29.32,17.5,21.76,13.62,39.35,15.71,42.0,75.85,19.9,50.0,13.41,32.72,79.17,229.54,28.64,22.53,11.8,36.2,35.95,114.6
116,20170808,21.54,63.11,55.79,34.1,194.1,18.94,103.26,19.87,34.71,58.41,30.26,17.75,21.76,13.99,39.63,16.3,42.7,77.81,20.19,50.23,13.82,33.63,78.75,239.97,30.77,23.2,12.2,36.78,37.11,116.12
117,20170807,21.44,63.86,56.18,33.5,193.46,19.23,105.81,20.12,35.35,58.05,30.3,17.72,21.53,14.04,39.67,16.58,42.7,79.41,20.29,50.92,14.46,34.45,78.33,236.27,33.04,23.51,12.55,36.44,36.78,117.42
118,20170804,21.34,63.86,55.79,33.25,191.62,19.23,107.32,19.82,35.52,57.05,30.08,17.58,21.57,13.95,39.85,16.3,42.75,77.45,20.26,51.37,14.14,35.0,77.92,233.14,35.5,23.56,12.7,36.44,36.82,117.65
119,20170803,21.82,64.69,55.89,33.2,191.44,19.43,107.88,19.87,35.52,57.77,29.18,17.75,21.33,14.04,40.31,16.44,42.6,72.8,20.12,51.3,13.36,34.82,77.5,232.39,36.23,23.16,12.3,36.68,36.69,117.65
120,20170802,21.39,64.69,56.67,33.0,192.36,19.43,109.39,19.87,35.03,57.77,29.14,17.75,20.9,14.18,38.95,16.44,42.5,72.36,20.08,51.3,13.18,33.72,77.08,232.76,37.86,22.98,12.55,36.49,36.69,116.43
121,20170801,21.15,65.93,56.28,33.0,192.45,19.28,109.39,20.12,34.74,58.14,29.68,17.97,21.72,13.9,39.67,16.58,42.45,72.36,20.44,51.53,12.91,33.45,76.67,232.29,37.73,23.2,13.0,36.78,36.69,115.44
122,20170731,21.15,65.93,56.57,32.5,190.98,19.67,109.77,19.78,34.28,56.69,29.32,17.75,21.88,13.71,40.31,16.65,42.8,73.09,20.36,51.53,12.09,33.9,76.25,224.7,36.77,23.47,13.1,36.16,36.78,116.58
123,20170728,20.01,67.84,55.13,32.4,187.04,18.8,109.2,19.87,34.42,55.69,29.32,17.83,23.52,14.09,41.03,16.44,41.6,73.45,20.15,50.84,12.0,33.27,75.83,223.37,37.36,23.07,12.8,35.92,35.45,116.89
124,20170727,19.72,66.59,54.75,32.6,182.45,18.61,109.39,19.87,34.18,54.88,28.74,17.83,23.4,14.18,40.98,15.53,41.5,72.36,20.04,51.53,11.96,33.77,75.42,223.09,37.45,22.8,12.65,35.77,34.96,116.81
125,20170726,19.63,68.5,55.04,32.9,181.44,18.75,111.09,20.0,33.89,55.51,29.03,18.02,23.52,14.27,40.03,15.46,41.55,72.72,20.19,51.83,12.0,33.22,75.0,223.09,37.63,22.84,12.8,35.82,35.21,116.89
126,20170725,19.53,68.5,54.75,33.2,179.7,18.41,108.26,19.82,33.11,54.79,28.6,17.58,23.13,14.18,39.85,15.46,41.6,71.7,20.08,51.91,11.91,32.81,74.58,223.37,36.54,22.53,12.5,35.72,34.71,115.97
127,20170724,18.49,64.02,54.85,33.3,181.08,17.93,108.17,19.78,32.97,53.97,27.8,17.36,22.86,14.13,39.94,14.48,41.45,70.98,19.97,51.91,11.86,31.53,74.17,223.37,35.91,22.08,11.85,35.72,34.88,115.97
